Channel-Type,Edge,Time
TX,falling,59727
TX,rising,59831
TX,falling,59935
TX,rising,60247
TX,falling,60455
TX,rising,60559
TX,falling,60767
TX,rising,60871
TX,falling,60975
TX,rising,61287
TX,falling,61495
TX,rising,61599
TX,falling,61807
TX,rising,61911
TX,falling,62015
TX,rising,62119
TX,falling,62535
TX,rising,62639
TX,falling,62847
TX,rising,62951
TX,falling,63055
TX,rising,63367
TX,falling,63575
TX,rising,63679
TX,falling,63783
TX,rising,63991
TX,falling,64095
TX,rising,64719
TX,falling,64823
TX,rising,65031
TX,falling,65135
TX,rising,65239
TX,falling,15
TX,rising,119
TX,falling,223
TX,rising,327
TX,falling,431
TX,rising,535
TX,falling,639
TX,rising,743
TX,falling,1159
TX,rising,1263
TX,falling,1471
TX,rising,1575
TX,falling,1679
TX,rising,1887
TX,falling,1991
TX,rising,2199
TX,falling,2511
TX,rising,2615
TX,falling,2719
TX,rising,3031
TX,falling,3239
TX,rising,3343
TX,falling,3551
TX,rising,3655
TX,falling,3759
TX,rising,4071
TX,falling,4175
TX,rising,4383
TX,falling,4591
TX,rising,4695
TX,falling,4799
TX,rising,4903
TX,falling,5007
TX,rising,5423
TX,falling,5527
TX,rising,5735
TX,falling,11678
TX,rising,12094
TX,falling,12198
TX,rising,12406
TX,falling,12510
TX,rising,12614
TX,falling,12718
TX,rising,12822
TX,falling,12926
TX,rising,13030
TX,falling,13134
TX,rising,13342
TX,falling,13550
TX,rising,13654
TX,falling,13758
TX,rising,14070
TX,falling,14278
TX,rising,14382
TX,falling,14590
TX,rising,14694
TX,falling,14798
TX,rising,15110
TX,falling,15318
TX,rising,15422
TX,falling,15630
TX,rising,15734
TX,falling,15838
TX,rising,15942
TX,falling,16358
TX,rising,16462
TX,falling,16670
TX,rising,16774
TX,falling,16878
TX,rising,17190
TX,falling,17398
TX,rising,17502
TX,falling,17606
TX,rising,17814
TX,falling,17918
TX,rising,18542
TX,falling,18646
TX,rising,18854
TX,falling,18958
TX,rising,19062
TX,falling,19374
TX,rising,19478
TX,falling,19582
TX,rising,19686
TX,falling,19790
TX,rising,19894
TX,falling,19998
TX,rising,20102
TX,falling,20518
TX,rising,20622
TX,falling,20830
TX,rising,20934
TX,falling,21038
TX,rising,21246
TX,falling,21350
TX,rising,21558
TX,falling,21870
TX,rising,21974
TX,falling,22078
TX,rising,22390
TX,falling,22598
TX,rising,22702
TX,falling,22910
TX,rising,23014
TX,falling,23118
TX,rising,23430
TX,falling,23534
TX,rising,23742
TX,falling,23950
TX,rising,24054
TX,falling,24158
TX,rising,24262
TX,falling,24366
TX,rising,24782
TX,falling,24886
TX,rising,25094
TX,falling,31028
TX,rising,31444
TX,falling,31548
TX,rising,31756
TX,falling,31860
TX,rising,31964
TX,falling,32068
TX,rising,32172
TX,falling,32276
TX,rising,32380
TX,falling,32484
TX,rising,32692
TX,falling,32900
TX,rising,33004
TX,falling,33108
TX,rising,33420
TX,falling,33628
TX,rising,33732
TX,falling,33940
TX,rising,34044
TX,falling,34148
TX,rising,34460
TX,falling,34668
TX,rising,34772
TX,falling,34980
TX,rising,35084
TX,falling,35188
TX,rising,35292
TX,falling,35708
TX,rising,35812
TX,falling,36020
TX,rising,36124
TX,falling,36228
TX,rising,36540
TX,falling,36748
TX,rising,36852
TX,falling,36956
TX,rising,37164
TX,falling,37268
TX,rising,37892
TX,falling,37996
TX,rising,38204
TX,falling,38308
TX,rising,38412
TX,falling,38724
TX,rising,38828
TX,falling,38932
TX,rising,39036
TX,falling,39140
TX,rising,39244
TX,falling,39348
TX,rising,39452
TX,falling,39868
TX,rising,39972
TX,falling,40180
TX,rising,40284
TX,falling,40388
TX,rising,40596
TX,falling,40700
TX,rising,40908
TX,falling,41220
TX,rising,41324
TX,falling,41428
TX,rising,41740
TX,falling,41948
TX,rising,42052
TX,falling,42260
TX,rising,42364
TX,falling,42468
TX,rising,42780
TX,falling,42884
TX,rising,43092
TX,falling,43300
TX,rising,43404
TX,falling,43508
TX,rising,43612
TX,falling,43716
TX,rising,44132
TX,falling,44236
TX,rising,44444
TX,falling,50391
TX,rising,50807
TX,falling,50911
TX,rising,51119
TX,falling,51223
TX,rising,51327
TX,falling,51431
TX,rising,51535
TX,falling,51639
TX,rising,51743
TX,falling,51847
TX,rising,52055
TX,falling,52263
TX,rising,52367
TX,falling,52471
TX,rising,52783
TX,falling,52991
TX,rising,53095
TX,falling,53303
TX,rising,53407
TX,falling,53511
TX,rising,53823
TX,falling,54031
TX,rising,54135
TX,falling,54343
TX,rising,54447
TX,falling,54551
TX,rising,54655
TX,falling,55071
TX,rising,55175
TX,falling,55383
TX,rising,55487
TX,falling,55591
TX,rising,55903
TX,falling,56111
TX,rising,56215
TX,falling,56319
TX,rising,56527
TX,falling,56631
TX,rising,57255
TX,falling,57359
TX,rising,57567
TX,falling,57671
TX,rising,57775
TX,falling,58087
TX,rising,58191
TX,falling,58295
TX,rising,58399
TX,falling,58503
TX,rising,58607
TX,falling,58711
TX,rising,58815
TX,falling,59231
TX,rising,59335
TX,falling,59543
TX,rising,59647
TX,falling,59751
TX,rising,59959
TX,falling,60063
TX,rising,60271
TX,falling,60583
TX,rising,60687
TX,falling,60791
TX,rising,61103
TX,falling,61311
TX,rising,61415
TX,falling,61623
TX,rising,61727
TX,falling,61831
TX,rising,62143
TX,falling,62247
TX,rising,62455
TX,falling,62663
TX,rising,62767
TX,falling,62871
TX,rising,62975
TX,falling,63079
TX,rising,63495
TX,falling,63599
TX,rising,63807
TX,falling,4207
TX,rising,4622
TX,falling,4727
TX,rising,4934
TX,falling,5039
TX,rising,5142
TX,falling,5247
TX,rising,5350
TX,falling,5455
TX,rising,5558
TX,falling,5663
TX,rising,5870
TX,falling,6079
TX,rising,6182
TX,falling,6287
TX,rising,6598
TX,falling,6807
TX,rising,6911
TX,falling,7119
TX,rising,7222
TX,falling,7327
TX,rising,7638
TX,falling,7847
TX,rising,7950
TX,falling,8159
TX,rising,8262
TX,falling,8367
TX,rising,8470
TX,falling,8887
TX,rising,8990
TX,falling,9199
TX,rising,9302
TX,falling,9407
TX,rising,9718
TX,falling,9927
TX,rising,10031
TX,falling,10135
TX,rising,10342
TX,falling,10447
TX,rising,11071
TX,falling,11175
TX,rising,11382
TX,falling,11487
TX,rising,11590
TX,falling,11903
TX,rising,12006
TX,falling,12111
TX,rising,12214
TX,falling,12319
TX,rising,12422
TX,falling,12527
TX,rising,12630
TX,falling,13047
TX,rising,13150
TX,falling,13359
TX,rising,13462
TX,falling,13567
TX,rising,13774
TX,falling,13879
TX,rising,14086
TX,falling,14399
TX,rising,14502
TX,falling,14607
TX,rising,14918
TX,falling,15127
TX,rising,15230
TX,falling,15439
TX,rising,15542
TX,falling,15647
TX,rising,15958
TX,falling,16063
TX,rising,16270
TX,falling,16479
TX,rising,16582
TX,falling,16687
TX,rising,16790
TX,falling,16895
TX,rising,17310
TX,falling,17415
TX,rising,17622
TX,falling,23577
TX,rising,23993
TX,falling,24097
TX,rising,24305
TX,falling,24409
TX,rising,24513
TX,falling,24617
TX,rising,24721
TX,falling,24825
TX,rising,24929
TX,falling,25033
TX,rising,25241
TX,falling,25449
