Designator,Mid X,Mid Y,Rotation,Layer
C1,167.7,-89.5,0.0,top
C10,155.58,-79.3,0.0,top
C11,155.58,-78.0,0.0,top
C12,151.68,-89.2,0.0,top
C13,152.1,-87.18,270.0,top
C14,151.68,-91.0,0.0,top
C15,155.9,-91.3,0.0,top
C16,150.6,-84.32,90.0,top
C17,150.6,-86.68,90.0,top
C2,172.6,-95.05,90.0,top
C3,146.8,-81.625,270.0,top
C4,152.29,-82.27,270.0,top
C5,151.0,-82.28,270.0,top
C6,160.78,-91.3,180.0,top
C7,160.78,-92.6,180.0,top
C8,164.1,-82.58,270.0,top
C9,165.4,-82.58,270.0,top
D1,176.4,-93.3875,270.0,top
FB1,153.5,-90.2125,270.0,top
J1,163.3,-73.0,270.0,top
J2,176.945,-83.9,90.0,top
R1,175.91,-90.3,180.0,top
R2,154.09,-75.6,0.0,top
R3,167.26,-83.35,90.0,top
SW1,157.5,-97.2,180.0,top
SW2,147.675,-75.3,270.0,top
U1,167.6,-95.6,90.0,top
U2,158.17,-85.28,270.0,top
Y1,148.05,-85.6,270.0,top
